,beta,alpha,d,v,s,k,range_scenario,A_v_k
501,0.0,0.0,0.0,1,1,s1,78.2620227390377,1
502,0.0,0.0,0.0,1,1,s2,58.82438821390615,0
503,0.0,0.0,0.0,1,1,s3,58.7414181850107,1
504,0.0,0.0,0.0,1,1,s4,51.52136012655755,0
505,0.0,0.0,0.0,1,1,s5,49.331962384466095,1
506,0.0,0.0,0.0,1,1,s6,13.646324639835257,1
507,0.0,0.0,0.0,1,1,s7,70.82045880067415,1
508,0.0,0.0,0.0,1,1,s8,71.19514120577276,0
509,0.0,0.0,0.0,1,1,s9,93.7457385645416,1
510,0.0,0.0,0.0,1,1,s10,148.43466588961843,0
511,0.0,0.0,0.0,1,1,s11,70.91215086747059,1
512,0.0,0.0,0.0,1,1,s12,33.24896137827551,1
513,0.0,0.0,0.0,1,1,s13,85.38444562273155,0
514,0.0,0.0,0.0,1,1,s14,95.36918704890552,0
515,0.0,0.0,0.0,1,1,s15,75.15029392499889,1
516,0.0,0.0,0.0,1,1,s16,81.73518865294531,1
517,0.0,0.0,0.0,1,1,s17,64.75709208712058,1
518,0.0,0.0,0.0,1,1,s18,101.14361231556816,0
519,0.0,0.0,0.0,1,1,s19,84.3466201483025,0
520,0.0,0.0,0.0,1,1,s20,134.20058556895634,0
521,0.0,0.0,0.0,1,1,s21,64.56612194769473,0
522,0.0,0.0,0.0,1,1,s22,64.26775067725517,0
523,0.0,0.0,0.0,1,1,s23,107.16545908777314,0
524,0.0,0.0,0.0,1,1,s24,69.27779127126058,1
525,0.0,0.0,0.0,1,1,s25,55.92563683323955,1
526,0.0,0.0,0.0,1,1,s26,104.51203405514823,1
527,0.0,0.0,0.0,1,1,s27,79.98646667806443,1
528,0.0,0.0,0.0,1,1,s28,114.06099130625348,0
529,0.0,0.0,0.0,1,1,s29,36.749334544203485,1
530,0.0,0.0,0.0,1,1,s30,24.78440120694185,1
531,0.0,0.0,0.0,1,1,s31,130.55324345099692,0
532,0.0,0.0,0.0,1,1,s32,121.56529414643624,0
533,0.0,0.0,0.0,1,1,s33,44.598370198501264,1
534,0.0,0.0,0.0,1,1,s34,74.87374561835652,0
535,0.0,0.0,0.0,1,1,s35,57.90413562773553,0
536,0.0,0.0,0.0,1,1,s36,43.43384595965777,1
537,0.0,0.0,0.0,1,1,s37,104.95401468691662,0
538,0.0,0.0,0.0,1,1,s38,77.8670797469697,0
539,0.0,0.0,0.0,1,1,s39,97.96443952949524,0
540,0.0,0.0,0.0,1,1,s40,101.2328980004464,1
541,0.0,0.0,0.0,1,1,s41,47.43674423753605,1
542,0.0,0.0,0.0,1,1,s42,12.647581181770242,1
543,0.0,0.0,0.0,1,1,s43,90.88863353595198,1
544,0.0,0.0,0.0,1,1,s44,33.83100528646747,1
545,0.0,0.0,0.0,1,1,s45,91.8818193778518,0
546,0.0,0.0,0.0,1,1,s46,92.06021260476338,1
547,0.0,0.0,0.0,1,1,s47,107.45591969753218,0
548,0.0,0.0,0.0,1,1,s48,79.19235108076109,0
549,0.0,0.0,0.0,1,1,s49,118.61135319242156,1
550,0.0,0.0,0.0,1,1,s50,71.26531272306863,0
551,0.0,0.0,0.0,1,1,s51,76.84426822584226,1
552,0.0,0.0,0.0,1,1,s52,60.44092528364659,1
553,0.0,0.0,0.0,1,1,s53,137.52410751072608,0
554,0.0,0.0,0.0,1,1,s54,104.51957655342326,1
555,0.0,0.0,0.0,1,1,s55,92.12599753756042,0
556,0.0,0.0,0.0,1,1,s56,37.2450021661674,1
557,0.0,0.0,0.0,1,1,s57,46.37507950636007,1
558,0.0,0.0,0.0,1,1,s58,90.5941826887102,1
559,0.0,0.0,0.0,1,1,s59,26.125824717230717,1
560,0.0,0.0,0.0,1,1,s60,147.35547114591407,0
561,0.0,0.0,0.0,1,1,s61,60.856759369880805,0
562,0.0,0.0,0.0,1,1,s62,30.63802131937769,1
563,0.0,0.0,0.0,1,1,s63,99.0767746280678,0
564,0.0,0.0,0.0,1,1,s64,124.58505307676634,0
565,0.0,0.0,0.0,1,1,s65,16.878673815192336,1
566,0.0,0.0,0.0,1,1,s66,101.925294343409,0
567,0.0,0.0,0.0,1,1,s67,30.33730807013182,1
568,0.0,0.0,0.0,1,1,s68,92.65693142739116,1
569,0.0,0.0,0.0,1,1,s69,46.06061447388738,0
570,0.0,0.0,0.0,1,1,s70,82.46872524006916,0
571,0.0,0.0,0.0,1,1,s71,86.01210208152308,1
572,0.0,0.0,0.0,1,1,s72,108.66690604937266,0
573,0.0,0.0,0.0,1,1,s73,95.61599311561274,0
574,0.0,0.0,0.0,1,1,s74,44.9997325426968,1
575,0.0,0.0,0.0,1,1,s75,12.080071215114693,1
576,0.0,0.0,0.0,1,1,s76,28.807434232521807,1
577,0.0,0.0,0.0,1,1,s77,33.9495532868868,1
578,0.0,0.0,0.0,1,1,s78,125.6527697752131,0
579,0.0,0.0,0.0,1,1,s79,87.71443530283874,1
580,0.0,0.0,0.0,1,1,s80,139.75039122470494,0
581,0.0,0.0,0.0,1,1,s81,63.4274877228332,1
582,0.0,0.0,0.0,1,1,s82,69.34922304641705,1
583,0.0,0.0,0.0,1,1,s83,37.77353597259822,0
584,0.0,0.0,0.0,1,1,s84,33.92949248417591,1
585,0.0,0.0,0.0,1,1,s85,110.1184409868744,0
586,0.0,0.0,0.0,1,1,s86,93.3782793962653,0
587,0.0,0.0,0.0,1,1,s87,107.89324528388374,0
588,0.0,0.0,0.0,1,1,s88,83.10627058042525,0
589,0.0,0.0,0.0,1,1,s89,118.53167889168756,0
590,0.0,0.0,0.0,1,1,s90,46.545121572877946,1
591,0.0,0.0,0.0,1,1,s91,95.15220248448732,0
592,0.0,0.0,0.0,1,1,s92,103.07334427695068,0
593,0.0,0.0,0.0,1,1,s93,110.60407016581716,0
594,0.0,0.0,0.0,1,1,s94,99.06421670060324,1
595,0.0,0.0,0.0,1,1,s95,78.63794064582231,1
596,0.0,0.0,0.0,1,1,s96,87.73641205876649,1
597,0.0,0.0,0.0,1,1,s97,117.16937281932498,0
598,0.0,0.0,0.0,1,1,s98,79.00855320194,1
599,0.0,0.0,0.0,1,1,s99,82.9049188383455,1
600,0.0,0.0,0.0,1,2,s0,87.24648809612748,0
601,0.0,0.0,0.0,1,2,s1,78.2620227390377,1
602,0.0,0.0,0.0,1,2,s2,58.82438821390615,0
603,0.0,0.0,0.0,1,2,s3,58.7414181850107,1
604,0.0,0.0,0.0,1,2,s4,51.52136012655755,0
605,0.0,0.0,0.0,1,2,s5,49.331962384466095,1
606,0.0,0.0,0.0,1,2,s6,13.646324639835257,1
607,0.0,0.0,0.0,1,2,s7,70.82045880067415,1
608,0.0,0.0,0.0,1,2,s8,71.19514120577276,0
609,0.0,0.0,0.0,1,2,s9,93.7457385645416,1
610,0.0,0.0,0.0,1,2,s10,148.43466588961843,0
611,0.0,0.0,0.0,1,2,s11,70.91215086747059,1
612,0.0,0.0,0.0,1,2,s12,33.24896137827551,1
613,0.0,0.0,0.0,1,2,s13,85.38444562273155,0
614,0.0,0.0,0.0,1,2,s14,95.36918704890552,0
615,0.0,0.0,0.0,1,2,s15,75.15029392499889,1
616,0.0,0.0,0.0,1,2,s16,81.73518865294531,1
617,0.0,0.0,0.0,1,2,s17,64.75709208712058,1
618,0.0,0.0,0.0,1,2,s18,101.14361231556816,0
619,0.0,0.0,0.0,1,2,s19,84.3466201483025,0
620,0.0,0.0,0.0,1,2,s20,134.20058556895634,0
621,0.0,0.0,0.0,1,2,s21,64.56612194769473,0
622,0.0,0.0,0.0,1,2,s22,64.26775067725517,0
623,0.0,0.0,0.0,1,2,s23,107.16545908777314,0
624,0.0,0.0,0.0,1,2,s24,69.27779127126058,1
625,0.0,0.0,0.0,1,2,s25,55.92563683323955,1
626,0.0,0.0,0.0,1,2,s26,104.51203405514823,1
627,0.0,0.0,0.0,1,2,s27,79.98646667806443,1
628,0.0,0.0,0.0,1,2,s28,114.06099130625348,0
629,0.0,0.0,0.0,1,2,s29,36.749334544203485,1
630,0.0,0.0,0.0,1,2,s30,24.78440120694185,1
631,0.0,0.0,0.0,1,2,s31,130.55324345099692,0
632,0.0,0.0,0.0,1,2,s32,121.56529414643624,0
633,0.0,0.0,0.0,1,2,s33,44.598370198501264,1
634,0.0,0.0,0.0,1,2,s34,74.87374561835652,0
635,0.0,0.0,0.0,1,2,s35,57.90413562773553,0
636,0.0,0.0,0.0,1,2,s36,43.43384595965777,1
637,0.0,0.0,0.0,1,2,s37,104.95401468691662,0
638,0.0,0.0,0.0,1,2,s38,77.8670797469697,0
639,0.0,0.0,0.0,1,2,s39,97.96443952949524,0
640,0.0,0.0,0.0,1,2,s40,101.2328980004464,1
641,0.0,0.0,0.0,1,2,s41,47.43674423753605,1
642,0.0,0.0,0.0,1,2,s42,12.647581181770242,1
643,0.0,0.0,0.0,1,2,s43,90.88863353595198,1
644,0.0,0.0,0.0,1,2,s44,33.83100528646747,1
645,0.0,0.0,0.0,1,2,s45,91.8818193778518,0
646,0.0,0.0,0.0,1,2,s46,92.06021260476338,1
647,0.0,0.0,0.0,1,2,s47,107.45591969753218,0
648,0.0,0.0,0.0,1,2,s48,79.19235108076109,0
649,0.0,0.0,0.0,1,2,s49,118.61135319242156,1
650,0.0,0.0,0.0,1,2,s50,71.26531272306863,0
651,0.0,0.0,0.0,1,2,s51,76.84426822584226,1
652,0.0,0.0,0.0,1,2,s52,60.44092528364659,1
653,0.0,0.0,0.0,1,2,s53,137.52410751072608,0
654,0.0,0.0,0.0,1,2,s54,104.51957655342326,1
655,0.0,0.0,0.0,1,2,s55,92.12599753756042,0
656,0.0,0.0,0.0,1,2,s56,37.2450021661674,1
657,0.0,0.0,0.0,1,2,s57,46.37507950636007,1
658,0.0,0.0,0.0,1,2,s58,90.5941826887102,1
659,0.0,0.0,0.0,1,2,s59,26.125824717230717,1
660,0.0,0.0,0.0,1,2,s60,147.35547114591407,0
661,0.0,0.0,0.0,1,2,s61,60.856759369880805,0
662,0.0,0.0,0.0,1,2,s62,30.63802131937769,1
663,0.0,0.0,0.0,1,2,s63,99.0767746280678,0
664,0.0,0.0,0.0,1,2,s64,124.58505307676634,0
665,0.0,0.0,0.0,1,2,s65,16.878673815192336,1
666,0.0,0.0,0.0,1,2,s66,101.925294343409,0
667,0.0,0.0,0.0,1,2,s67,30.33730807013182,1
668,0.0,0.0,0.0,1,2,s68,92.65693142739116,1
669,0.0,0.0,0.0,1,2,s69,46.06061447388738,0
670,0.0,0.0,0.0,1,2,s70,82.46872524006916,0
671,0.0,0.0,0.0,1,2,s71,86.01210208152308,1
672,0.0,0.0,0.0,1,2,s72,108.66690604937266,0
673,0.0,0.0,0.0,1,2,s73,95.61599311561274,0
674,0.0,0.0,0.0,1,2,s74,44.9997325426968,1
675,0.0,0.0,0.0,1,2,s75,12.080071215114693,1
676,0.0,0.0,0.0,1,2,s76,28.807434232521807,1
677,0.0,0.0,0.0,1,2,s77,33.9495532868868,1
678,0.0,0.0,0.0,1,2,s78,125.6527697752131,0
679,0.0,0.0,0.0,1,2,s79,87.71443530283874,1
680,0.0,0.0,0.0,1,2,s80,139.75039122470494,0
681,0.0,0.0,0.0,1,2,s81,63.4274877228332,1
682,0.0,0.0,0.0,1,2,s82,69.34922304641705,1
683,0.0,0.0,0.0,1,2,s83,37.77353597259822,0
684,0.0,0.0,0.0,1,2,s84,33.92949248417591,1
685,0.0,0.0,0.0,1,2,s85,110.1184409868744,0
686,0.0,0.0,0.0,1,2,s86,93.3782793962653,0
687,0.0,0.0,0.0,1,2,s87,107.89324528388374,0
688,0.0,0.0,0.0,1,2,s88,83.10627058042525,0
689,0.0,0.0,0.0,1,2,s89,118.53167889168756,0
690,0.0,0.0,0.0,1,2,s90,46.545121572877946,1
691,0.0,0.0,0.0,1,2,s91,95.15220248448732,0
692,0.0,0.0,0.0,1,2,s92,103.07334427695068,0
693,0.0,0.0,0.0,1,2,s93,110.60407016581716,0
694,0.0,0.0,0.0,1,2,s94,99.06421670060324,1
695,0.0,0.0,0.0,1,2,s95,78.63794064582231,1
696,0.0,0.0,0.0,1,2,s96,87.73641205876649,1
